City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,chibougamau,49.9168,-74.3659,73.02,49,0,5.75,CA,1691446477
83,alliance,40.9153,-81.1059,71.29,94,96,12.46,US,1691446214
84,itoman,26.1247,127.6694,80.62,92,75,25.32,JP,1691446477
85,chita,52.0333,113.55,49.89,100,100,0.0,RU,1691446376
86,kapuskasing,49.4169,-82.4331,77.09,50,75,10.36,CA,1691446477
87,christchurch,-43.5333,172.6333,44.33,82,54,4.61,NZ,1691446217
88,arraial do cabo,-22.9661,-42.0278,67.96,94,0,4.61,BR,1691446477
89,vilyuysk,63.7553,121.6247,62.19,68,0,5.73,RU,1691446477
90,lebu,-37.6167,-73.65,51.89,82,100,6.11,CL,1691446477
91,ciudad acuna,29.3232,-100.9522,109.69,22,0,12.66,MX,1691446477
92,hamilton,39.1834,-84.5333,76.95,85,100,5.75,US,1691446202
93,kas,36.2018,29.6377,79.59,63,0,5.53,TR,1691446477
94,qaqortoq,60.7167,-46.0333,42.84,83,16,4.83,GL,1691446478
95,parthenay,46.6667,-0.4167,59.95,68,41,6.98,FR,1691446478
96,aghstafa,41.1189,45.4539,80.82,54,0,4.63,AZ,1691446478
97,labuan bajo,-8.4964,119.8877,71.08,68,10,4.05,ID,1691446478
98,sundarnagar,31.5333,76.8833,71.87,83,19,3.67,IN,1691446478
99,kingston,17.997,-76.7936,93.24,66,75,21.85,JM,1691445914
100,lihue,21.9789,-159.3672,83.44,86,100,11.5,US,1691446478
101,hithadhoo,-0.6,73.0833,81.27,74,100,3.56,MV,1691446478
102,fagundes,-7.355,-35.775,72.0,83,20,8.05,BR,1691446478
103,iqaluit,63.7506,-68.5145,53.33,76,20,6.91,CA,1691446478
104,nemuro,43.3236,145.575,59.14,98,100,12.73,JP,1691446478
105,ust-tsilma,65.441,52.1498,49.37,94,43,4.74,RU,1691446478
106,fort bragg,35.139,-79.006,93.34,52,0,13.8,US,1691446478
107,jose pedro varela,-33.45,-54.5333,44.87,76,2,10.11,UY,1691446478
108,cockburn town,21.4612,-71.1419,83.98,87,6,19.89,TC,1691446478
109,drayton valley,53.2168,-114.9854,71.91,62,13,10.07,CA,1691446478
110,neukirchen,50.8667,9.3333,54.05,92,6,7.11,DE,1691446479
111,lompoc,34.6391,-120.4579,77.85,74,100,10.36,US,1691446458
112,igarka,67.4667,86.5833,53.26,84,27,7.45,RU,1691446479
113,south suffolk,36.7171,-76.5902,92.86,60,0,10.36,US,1691446479
114,kargasok,59.0556,80.8572,50.43,95,6,5.82,RU,1691446479
115,tame,6.461,-71.73,78.22,87,97,2.53,CO,1691446479
116,ilulissat,69.2167,-51.1,51.82,50,20,3.44,GL,1691446479
117,san patricio,28.017,-97.5169,101.12,43,0,18.39,US,1691446479
118,crane,31.3974,-102.3501,106.34,13,34,19.62,US,1691446479
119,puerto natales,-51.7236,-72.4875,32.09,88,100,1.97,CL,1691446402
120,ke-macina,13.9623,-5.3572,83.16,58,50,8.68,ML,1691446479
121,labrador city,52.9463,-66.9114,66.11,55,75,4.61,CA,1691446479
122,nar'yan-mar,67.6713,53.087,43.54,96,13,7.31,RU,1691446479
123,lazaro cardenas,17.9583,-102.2,89.74,61,7,12.97,MX,1691446479
124,genhe,50.7833,121.5167,57.49,69,98,2.3,CN,1691446479
125,utrik,11.2278,169.8474,82.85,79,74,20.27,MH,1691446479
126,fruitland,38.3221,-75.6202,85.93,79,40,10.36,US,1691446480
127,nuuk,64.1835,-51.7216,43.41,87,20,5.75,GL,1691446480
128,shingu,33.7333,135.9833,80.04,94,100,13.44,JP,1691446431
129,trincomalee,8.5711,81.2335,81.21,74,100,18.63,LK,1691446480
130,el granada,37.5027,-122.4694,96.93,67,0,19.57,US,1691446480
131,tazovsky,67.4667,78.7,54.46,80,20,5.88,RU,1691446480
132,ust-nera,64.5667,143.2,50.4,47,97,4.59,RU,1691446480
133,ataq,14.5377,46.8319,83.97,53,100,6.17,YE,1691446480
134,broome,42.2506,-75.833,76.46,81,75,10.36,US,1691446480
135,laguna,38.421,-121.4238,104.43,28,0,6.91,US,1691446480
136,pingxiang,27.6167,113.85,79.39,92,97,0.81,CN,1691446480
137,keflavik,64.0049,-22.5624,55.31,93,75,4.61,IS,1691446426
138,senhor do bonfim,-10.4614,-40.1894,71.11,70,2,8.03,BR,1691446371
139,kidal,18.4411,1.4078,90.93,37,49,7.9,ML,1691446480
140,nadi,-17.8,177.4167,78.8,73,20,2.3,FJ,1691446480
141,baruun-urt,46.6806,113.2792,54.79,95,60,6.46,MN,1691446480
142,miramichi,47.0043,-65.4654,63.43,68,80,7.02,CA,1691446480
143,turan,16.0678,108.2208,82.38,74,20,3.44,VN,1691446386
144,brookings,44.3114,-96.7984,78.19,51,0,3.0,US,1691446481
145,georgetown,5.4112,100.3354,80.53,89,20,0.0,MY,1691446285
146,howard springs,-12.497,131.047,69.71,66,35,7.61,AU,1691446481
147,ouesso,1.6136,16.0517,69.71,99,100,0.4,CG,1691446481
148,visby,57.6409,18.296,59.83,100,100,11.5,SE,1691446481
149,badger,64.8,-147.5333,71.13,66,100,10.36,US,1691446481
150,along,28.1667,94.7667,75.43,99,98,0.81,IN,1691446481
151,tosya,41.0155,34.0401,66.88,79,0,3.04,TR,1691446481
152,onega,63.9061,38.1404,61.05,73,1,11.36,RU,1691446481
153,inverloch,-38.6333,145.7167,46.29,92,31,3.87,AU,1691446481
154,whitehorse,60.7161,-135.0538,74.01,43,75,12.66,CA,1691446419
155,west island,-12.1568,96.8225,76.98,88,40,10.36,CC,1691446481
156,tchollire,8.4022,14.1698,72.07,89,100,2.33,CM,1691446481
157,tynda,55.1667,124.7167,61.63,71,100,1.12,RU,1691446481
158,jabat,7.75,168.9751,82.49,76,100,7.58,MH,1691446481
159,vorkuta,67.5,64.0,52.52,94,25,8.86,RU,1691446481
160,avarua,-21.2078,-159.775,75.25,69,88,5.75,CK,1691446481
161,pacific grove,36.6177,-121.9166,80.38,84,20,16.11,US,1691446482
162,niafunke,15.9322,-3.9906,92.34,41,56,13.73,ML,1691446482
163,araure,9.5601,-69.2148,78.85,93,82,2.21,VE,1691446482
164,peruibe,-24.32,-46.9983,73.96,61,0,8.84,BR,1691446482
165,anadyr,64.75,177.4833,54.1,93,75,15.66,RU,1691446482
166,vorgashor,67.5833,63.95,51.57,93,26,8.72,RU,1691446482
167,klyuchi,52.2667,79.1667,61.92,49,0,3.06,RU,1691446482
168,san antonio de pale,-1.4014,5.6325,73.11,79,56,8.95,GQ,1691446482
169,tqvarch'eli,42.8404,41.6801,73.72,89,25,3.04,GE,1691446482
170,chhor,25.5167,69.7667,82.58,72,69,24.67,PK,1691446482
171,kasungu,-13.0333,33.4833,61.43,60,8,4.07,MW,1691446482
172,afaahiti,-17.75,-149.2833,82.27,79,97,12.33,PF,1691446482
173,togur,58.3631,82.8265,50.9,98,27,5.5,RU,1691446482
174,qandala,11.472,49.8728,89.46,48,49,10.36,SO,1691446482
175,udachny,66.4167,112.4,57.45,50,98,4.52,RU,1691446400
176,belmonte,-15.8631,-38.8828,72.99,82,63,6.55,BR,1691446482
177,laghouat,33.8,2.8651,87.35,17,0,6.93,DZ,1691446482
178,coquimbo,-29.9533,-71.3436,58.73,82,40,8.05,CL,1691446482
179,port mathurin,-19.6833,63.4167,73.24,56,12,19.46,MU,1691446408
180,pisco,-13.7,-76.2167,69.85,68,0,11.5,PE,1691446483
181,quepos,9.4236,-84.1652,78.75,92,100,3.67,CR,1691446483
182,sisimiut,66.9395,-53.6735,46.42,67,20,2.8,GL,1691446483
183,businga,3.3333,20.8833,68.83,99,99,0.49,CD,1691446483
184,labytnangi,66.6572,66.4183,60.1,93,1,2.62,RU,1691446483
185,klaksvik,62.2266,-6.589,50.92,78,75,11.43,FO,1691446483
